,Carson_Paediatric_Dermatology_2nd.pdf,Duhring_Diseases_of_the_skin.pdf,Kane_Paediatric_Dermatology.pdf,Hartzell_Diseases_of_the_skin.pdf,Hurwitz_Pediatric_Dermatology_5th.pdf,Arenas_Tropical_Dermatology.pdf
with_pypdf2,232,0,388,0,0,326
with_pdfminer,461,1405,798,1376,2285,324
with_tika,462,1517,698,1448,2003,320
with_pymuPDF,466,1483,697,1436,1984,312
