,Carson_Paediatric_Dermatology_2nd.pdf,Duhring_Diseases_of_the_skin.pdf,Kane_Paediatric_Dermatology.pdf,Hartzell_Diseases_of_the_skin.pdf,Hurwitz_Pediatric_Dermatology_5th.pdf,Arenas_Tropical_Dermatology.pdf
with_pypdf2,5,0,111,0,0,38
with_pdfminer,64,101,150,144,398,35
with_tika,41,94,163,148,386,34
with_pymuPDF,41,87,153,139,391,34
